Orlando Magic,Los Angeles Lakers,-167,+144
Orlando Magic,Los Angeles Lakers,-123,-101
Orlando Magic,Los Angeles Lakers,-204,+173
Los Angeles Lakers,Orlando Magic,-345,+269
Los Angeles Lakers,Orlando Magic,-294,+242
Orlando Magic,Cleveland Cavaliers,-135,+114
Denver Nuggets,Los Angeles Lakers,-217,+181
Cleveland Cavaliers,Orlando Magic,-417,+337
Los Angeles Lakers,Denver Nuggets,-263,+217
Orlando Magic,Cleveland Cavaliers,+100,-122
Denver Nuggets,Los Angeles Lakers,-208,+172
Orlando Magic,Cleveland Cavaliers,-123,+102
Denver Nuggets,Los Angeles Lakers,-167,+141
Cleveland Cavaliers,Orlando Magic,-625,+501
Los Angeles Lakers,Denver Nuggets,-250,+210
Cleveland Cavaliers,Orlando Magic,-526,+393
Los Angeles Lakers,Denver Nuggets,-312,+247
Boston Celtics,Orlando Magic,-149,+125
Los Angeles Lakers,Houston Rockets,-1429,+847
Houston Rockets,Los Angeles Lakers,+391,-476
Orlando Magic,Boston Celtics,-323,+265
Denver Nuggets,Dallas Mavericks,-625,+480
Los Angeles Lakers,Houston Rockets,-1667,+883
Boston Celtics,Orlando Magic,-137,+114
Dallas Mavericks,Denver Nuggets,-145,+123
Atlanta Hawks,Cleveland Cavaliers,+462,-625
Orlando Magic,Boston Celtics,-227,+189
Houston Rockets,Los Angeles Lakers,+323,-385
Atlanta Hawks,Cleveland Cavaliers,+375,-455
Dallas Mavericks,Denver Nuggets,-172,+147
Houston Rockets,Los Angeles Lakers,+104,-127
Orlando Magic,Boston Celtics,-208,+170
Cleveland Cavaliers,Atlanta Hawks,-1667,+978
Los Angeles Lakers,Houston Rockets,-833,+597
Boston Celtics,Orlando Magic,-196,+166
Denver Nuggets,Dallas Mavericks,-303,+256
Cleveland Cavaliers,Atlanta Hawks,-1250,+803
Los Angeles Lakers,Houston Rockets,-500,+407
Boston Celtics,Orlando Magic,-123,+100
Denver Nuggets,Dallas Mavericks,-294,+246
Atlanta Hawks,Miami Heat,-244,+206
Boston Celtics,Chicago Bulls,-286,+225
Miami Heat,Atlanta Hawks,-204,+173
